Dataset,Top_K,ADFNR_Precision,ADFNR_Recall,DASOD_Precision,DASOD_Recall,GCN_Precision,GCN_Recall,GCN-LOF_Precision,GCN-LOF_Recall,NIEOD_Precision,NIEOD_Recall,NMIGOD_Precision,NMIGOD_Recall
banknote,8,1.0,0.0727,1.0,0.0727,0.625,0.0568,0.625,0.0568,1.0,0.0727,0.875,0.0795
banknote,34,0.6176,0.1909,0.6765,0.2091,0.7647,0.2955,0.7941,0.3068,0.6471,0.2,0.8235,0.3182
banknote,61,0.459,0.2545,0.5246,0.2909,0.7705,0.5341,0.7541,0.5227,0.4426,0.2455,0.7541,0.5227
banknote,78,0.3846,0.2727,0.4615,0.3273,0.7692,0.6818,0.7821,0.6932,0.3846,0.2727,0.7308,0.6477
banknote,174,0.2816,0.4455,0.3276,0.5182,0.5,0.9886,0.4943,0.9773,0.2356,0.3727,0.4885,0.9659
banknote,305,0.1934,0.5364,0.2262,0.6273,0.2885,1.0,0.2885,1.0,0.2262,0.6273,0.2852,0.9886
banknote,392,0.1786,0.6364,0.2015,0.7182,0.2245,1.0,0.2245,1.0,0.2168,0.7727,0.2219,0.9886
banknote,610,0.1656,0.9182,0.1689,0.9364,0.1443,1.0,0.1443,1.0,0.1787,0.9909,0.1443,1.0
banknote,872,0.1261,1.0,0.1261,1.0,0.1009,1.0,0.1009,1.0,0.1261,1.0,0.1009,1.0
banknote_Avg,-,0.3785,0.4808,0.4125,0.5222,0.4653,0.7285,0.4675,0.7285,0.3842,0.5061,0.4916,0.7235
breast-cancer,4,1.0,0.0976,1.0,0.0976,0.5,0.0606,0.75,0.0909,1.0,0.0976,0.75,0.0909
breast-cancer,18,1.0,0.439,1.0,0.439,0.7778,0.4242,0.7222,0.3939,0.9444,0.4146,0.7222,0.3939
breast-cancer,32,0.9375,0.7317,0.9375,0.7317,0.7188,0.697,0.7188,0.697,0.9375,0.7317,0.75,0.7273
breast-cancer,42,0.881,0.9024,0.881,0.9024,0.6905,0.8788,0.6905,0.8788,0.8571,0.878,0.6667,0.8485
breast-cancer,93,0.4409,1.0,0.4409,1.0,0.3548,1.0,0.3548,1.0,0.4409,1.0,0.3548,1.0
breast-cancer,164,0.25,1.0,0.25,1.0,0.2012,1.0,0.2012,1.0,0.25,1.0,0.2012,1.0
breast-cancer,211,0.1943,1.0,0.1943,1.0,0.1564,1.0,0.1564,1.0,0.1943,1.0,0.1564,1.0
breast-cancer,328,0.125,1.0,0.125,1.0,0.1006,1.0,0.1006,1.0,0.125,1.0,0.1006,1.0
breast-cancer,469,0.0874,1.0,0.0874,1.0,0.0704,1.0,0.0704,1.0,0.0874,1.0,0.0704,1.0
breast-cancer_Avg,-,0.5462,0.7967,0.5462,0.7967,0.3967,0.7845,0.4183,0.7845,0.5374,0.7913,0.4191,0.7845
car,17,0.5882,0.0746,0.0,0.0,0.5294,0.0841,0.5294,0.0841,0.5882,0.0746,0.6471,0.1028
car,69,0.1449,0.0746,0.0,0.0,0.7246,0.4673,0.6957,0.4486,0.1449,0.0746,0.6667,0.4299
car,120,0.0833,0.0746,0.0,0.0,0.725,0.8131,0.6833,0.7664,0.0833,0.0746,0.725,0.8131
car,155,0.0645,0.0746,0.0,0.0,0.6323,0.9159,0.6258,0.9065,0.0645,0.0746,0.6581,0.9533
car,345,0.029,0.0746,0.0,0.0,0.3101,1.0,0.3101,1.0,0.029,0.0746,0.3101,1.0
car,604,0.0166,0.0746,0.0,0.0,0.1772,1.0,0.1772,1.0,0.0166,0.0746,0.1772,1.0
car,777,0.0129,0.0746,0.0,0.0,0.1377,1.0,0.1377,1.0,0.0129,0.0746,0.1377,1.0
car,1209,0.0223,0.2015,0.0265,0.2388,0.0885,1.0,0.0885,1.0,0.0223,0.2015,0.0885,1.0
car,1728,0.0775,1.0,0.0775,1.0,0.0619,1.0,0.0619,1.0,0.0775,1.0,0.0619,1.0
car_Avg,-,0.1155,0.1915,0.0116,0.1376,0.3763,0.8089,0.3677,0.8006,0.1155,0.1915,0.3858,0.8110
chess,20,0.35,0.0183,0.55,0.0287,0.75,0.049,0.95,0.0621,0.35,0.0183,0.75,0.049
chess,82,0.5488,0.1175,0.6341,0.1358,0.7805,0.2092,0.7927,0.2124,0.5244,0.1123,0.6829,0.183
chess,143,0.5315,0.1984,0.5874,0.2193,0.8042,0.3758,0.7622,0.3562,0.5385,0.201,0.7063,0.3301
chess,184,0.5,0.2402,0.5489,0.2637,0.7935,0.4771,0.7663,0.4608,0.4946,0.2376,0.7283,0.4379
chess,410,0.439,0.47,0.461,0.4935,0.6341,0.8497,0.6341,0.8497,0.4439,0.4752,0.6902,0.9248
chess,718,0.3983,0.7467,0.3983,0.7467,0.4067,0.9542,0.4192,0.9837,0.4025,0.7546,0.4192,0.9837
chess,923,0.3684,0.8877,0.3651,0.8799,0.3218,0.9706,0.3272,0.9869,0.3662,0.8825,0.3283,0.9902
chess,1436,0.2667,1.0,0.2667,1.0,0.2131,1.0,0.2117,0.9935,0.2667,1.0,0.2124,0.9967
chess,2052,0.1866,1.0,0.1866,1.0,0.1491,1.0,0.1491,1.0,0.1866,1.0,0.1491,1.0
chess_Avg,-,0.3988,0.5199,0.4442,0.5297,0.5392,0.6540,0.5569,0.6561,0.3970,0.5202,0.5185,0.6550
cmc,14,0.7857,0.0175,0.8571,0.0191,0.8571,0.0239,0.5714,0.0159,0.9286,0.0207,0.7857,0.0219
cmc,58,0.7241,0.0668,0.7069,0.0652,0.6034,0.0696,0.6552,0.0755,0.7586,0.07,0.7069,0.0815
cmc,103,0.7379,0.1208,0.7379,0.1208,0.6019,0.1233,0.6117,0.1252,0.7184,0.1176,0.6602,0.1352
cmc,132,0.7045,0.1479,0.697,0.1463,0.5985,0.1571,0.5985,0.1571,0.7273,0.1526,0.6212,0.163
cmc,294,0.568,0.2655,0.6088,0.2846,0.5578,0.326,0.551,0.3221,0.602,0.2814,0.5374,0.3141
cmc,515,0.5184,0.4245,0.5146,0.4213,0.4718,0.4831,0.501,0.5129,0.534,0.4372,0.4874,0.499
cmc,662,0.4955,0.5215,0.4909,0.5167,0.4517,0.5944,0.4834,0.6362,0.5045,0.531,0.4758,0.6262
cmc,1031,0.4772,0.7822,0.4656,0.7631,0.4025,0.825,0.4122,0.8449,0.4743,0.7774,0.4113,0.8429
cmc,1473,0.427,1.0,0.427,1.0,0.3415,1.0,0.3415,1.0,0.427,1.0,0.3415,1.0
cmc_Avg,-,0.6043,0.3719,0.6118,0.3708,0.5429,0.4003,0.5251,0.4100,0.6305,0.3764,0.5586,0.4093
covertype,100,-,-,-,-,0.22,0.1325,0.24,0.1446,0.06,0.029,0.3,0.1807
covertype,400,-,-,-,-,0.135,0.3253,0.125,0.3012,0.0425,0.0821,0.1525,0.3675
covertype,700,-,-,-,-,0.0943,0.3976,0.0971,0.4096,0.0443,0.1498,0.1029,0.4337
covertype,900,-,-,-,-,0.0856,0.4639,0.0889,0.4819,0.0411,0.1787,0.0856,0.4639
covertype,2000,-,-,-,-,0.054,0.6506,0.053,0.6386,0.0395,0.3816,0.054,0.6506
covertype,3500,-,-,-,-,0.04,0.8434,0.0397,0.8373,0.0303,0.5121,0.0369,0.7771
covertype,4500,-,-,-,-,0.0327,0.8855,0.0318,0.8614,0.0262,0.57,0.0313,0.8494
covertype,7000,-,-,-,-,0.0233,0.9819,0.0216,0.9096,0.0243,0.8213,0.0231,0.9759
covertype,10000,-,-,-,-,0.0166,1.0,0.0166,1.0,0.0207,1.0,0.0166,1.0
covertype_Avg,-,-,-,-,-,0.0779,0.6312,0.0793,0.6205,0.0365,0.4138,0.0892,0.6332
credit,4,0.25,0.0078,0.25,0.0078,0.75,0.0294,0.75,0.0294,0.0,0.0,1.0,0.0392
credit,17,0.5294,0.0703,0.3529,0.0469,0.8235,0.1373,0.8824,0.1471,0.2353,0.0312,0.7647,0.1275
credit,30,0.5,0.1172,0.3,0.0703,0.7333,0.2157,0.7667,0.2255,0.3,0.0703,0.6,0.1765
credit,39,0.4615,0.1406,0.359,0.1094,0.7179,0.2745,0.7436,0.2843,0.3077,0.0938,0.5641,0.2157
credit,87,0.5057,0.3438,0.3908,0.2656,0.6782,0.5784,0.6667,0.5686,0.3793,0.2578,0.5977,0.5098
credit,152,0.4474,0.5312,0.3618,0.4297,0.5461,0.8137,0.6053,0.902,0.3684,0.4375,0.5526,0.8235
credit,195,0.4154,0.6328,0.3641,0.5547,0.4564,0.8725,0.5077,0.9706,0.3487,0.5312,0.4974,0.951
credit,304,0.3553,0.8438,0.3158,0.75,0.3257,0.9706,0.3355,1.0,0.3092,0.7344,0.3355,1.0
credit,435,0.2943,1.0,0.2943,1.0,0.2345,1.0,0.2345,1.0,0.2943,1.0,0.2345,1.0
credit_Avg,-,0.4177,0.4097,0.3321,0.3594,0.5851,0.5436,0.6103,0.5697,0.2825,0.3507,0.5718,0.5381
diabetes,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.05,0.0,0.0,0.3333,0.025
diabetes,14,0.0,0.0,0.0,0.0,0.6429,0.225,0.7857,0.275,0.0,0.0,0.5714,0.2
diabetes,25,0.08,0.04,0.04,0.02,0.72,0.45,0.68,0.425,0.04,0.02,0.68,0.425
diabetes,33,0.0606,0.04,0.1212,0.08,0.697,0.575,0.697,0.575,0.1212,0.08,0.697,0.575
diabetes,74,0.1486,0.22,0.1892,0.28,0.527,0.975,0.527,0.975,0.1622,0.24,0.4865,0.9
diabetes,129,0.2558,0.66,0.2481,0.64,0.3101,1.0,0.3101,1.0,0.2481,0.64,0.3023,0.975
diabetes,166,0.2651,0.88,0.253,0.84,0.241,1.0,0.241,1.0,0.259,0.86,0.241,1.0
diabetes,259,0.1931,1.0,0.1931,1.0,0.1544,1.0,0.1544,1.0,0.1931,1.0,0.1544,1.0
diabetes,370,0.1351,1.0,0.1351,1.0,0.1081,1.0,0.1081,1.0,0.1351,1.0,0.1081,1.0
diabetes_Avg,-,0.1265,0.4267,0.1311,0.4289,0.3778,0.6917,0.4633,0.7000,0.1287,0.4267,0.3971,0.6778
german,8,0.125,0.01,0.125,0.01,0.375,0.0375,0.0,0.0,0.25,0.02,0.125,0.0125
german,32,0.1562,0.05,0.1875,0.06,0.2188,0.0875,0.25,0.1,0.1562,0.05,0.125,0.05
german,56,0.1964,0.11,0.2143,0.12,0.2321,0.1625,0.25,0.175,0.1964,0.11,0.1786,0.125
german,72,0.1806,0.13,0.2222,0.16,0.2083,0.1875,0.25,0.225,0.2222,0.16,0.1806,0.1625
german,160,0.1812,0.29,0.1812,0.29,0.1688,0.3375,0.2188,0.4375,0.1875,0.3,0.175,0.35
german,280,0.1571,0.44,0.1679,0.47,0.1679,0.5875,0.1857,0.65,0.1786,0.5,0.1679,0.5875
german,360,0.1444,0.52,0.1611,0.58,0.1444,0.65,0.1611,0.725,0.1583,0.57,0.1639,0.7375
german,560,0.1375,0.77,0.1357,0.76,0.1196,0.8375,0.1286,0.9,0.1446,0.81,0.1286,0.9
german,800,0.125,1.0,0.125,1.0,0.1,1.0,0.1,1.0,0.125,1.0,0.1,1.0
german_Avg,-,0.1559,0.3689,0.1689,0.3833,0.1928,0.4319,0.1716,0.4681,0.1799,0.3911,0.1494,0.4361
glass,2,0.0,0.0,0.5,0.0256,0.5,0.0323,1.0,0.0645,0.5,0.0256,0.0,0.0
glass,8,0.5,0.1026,0.5,0.1026,0.25,0.0645,0.875,0.2258,0.5,0.1026,0.25,0.0645
glass,14,0.2857,0.1026,0.2857,0.1026,0.3571,0.1613,0.5714,0.2581,0.2857,0.1026,0.4286,0.1935
glass,19,0.2632,0.1282,0.2105,0.1026,0.3684,0.2258,0.5263,0.3226,0.2632,0.1282,0.4737,0.2903
glass,42,0.2143,0.2308,0.2381,0.2564,0.3571,0.4839,0.4524,0.6129,0.2381,0.2564,0.4524,0.6129
glass,74,0.2432,0.4615,0.2162,0.4103,0.3108,0.7419,0.3649,0.871,0.2568,0.4872,0.3378,0.8065
glass,96,0.2292,0.5641,0.2604,0.641,0.2708,0.8387,0.3229,1.0,0.2292,0.5641,0.2708,0.8387
glass,149,0.1946,0.7436,0.2081,0.7949,0.2081,1.0,0.2081,1.0,0.2013,0.7692,0.2081,1.0
glass,214,0.1822,1.0,0.1822,1.0,0.1449,1.0,0.1449,1.0,0.1822,1.0,0.1449,1.0
glass_Avg,-,0.2347,0.3704,0.2890,0.3818,0.3075,0.5054,0.4962,0.5950,0.2952,0.3818,0.2851,0.5340
gs_diabetes,3,0.0,0.0,0.0,0.0,-,-,-,-,0.0,0.0,-,-
gs_diabetes,14,0.0,0.0,0.0,0.0,-,-,-,-,0.0,0.0,-,-
gs_diabetes,25,0.08,0.04,0.04,0.02,-,-,-,-,0.0,0.0,-,-
gs_diabetes,33,0.0606,0.04,0.1212,0.08,-,-,-,-,0.0,0.0,-,-
gs_diabetes,74,0.1486,0.22,0.1892,0.28,-,-,-,-,0.0811,0.12,-,-
gs_diabetes,129,0.2558,0.66,0.2481,0.64,-,-,-,-,0.1783,0.46,-,-
gs_diabetes,166,0.2651,0.88,0.253,0.84,-,-,-,-,0.2349,0.78,-,-
gs_diabetes,259,0.1931,1.0,0.1931,1.0,-,-,-,-,0.1931,1.0,-,-
gs_diabetes,370,0.1351,1.0,0.1351,1.0,-,-,-,-,0.1351,1.0,-,-
gs_diabetes_Avg,-,0.1265,0.4267,0.1311,0.4289,-,-,-,-,0.0914,0.3733,-,-
gs_glass,2,0.0,0.0,0.5,0.0256,-,-,-,-,0.5,0.0256,-,-
gs_glass,8,0.5,0.1026,0.5,0.1026,-,-,-,-,0.5,0.1026,-,-
gs_glass,14,0.2857,0.1026,0.2857,0.1026,-,-,-,-,0.2857,0.1026,-,-
gs_glass,19,0.2632,0.1282,0.2105,0.1026,-,-,-,-,0.2632,0.1282,-,-
gs_glass,42,0.2143,0.2308,0.2381,0.2564,-,-,-,-,0.2381,0.2564,-,-
gs_glass,74,0.2432,0.4615,0.2162,0.4103,-,-,-,-,0.2568,0.4872,-,-
gs_glass,96,0.2292,0.5641,0.2604,0.641,-,-,-,-,0.2292,0.5641,-,-
gs_glass,149,0.1946,0.7436,0.2081,0.7949,-,-,-,-,0.2013,0.7692,-,-
gs_glass,214,0.1822,1.0,0.1822,1.0,-,-,-,-,0.1822,1.0,-,-
gs_glass_Avg,-,0.2347,0.3704,0.2890,0.3818,-,-,-,-,0.2952,0.3818,-,-
gs_iris,1,1.0,0.05,0.0,0.0,-,-,-,-,1.0,0.05,-,-
gs_iris,4,1.0,0.2,0.5,0.1,-,-,-,-,1.0,0.2,-,-
gs_iris,8,1.0,0.4,0.75,0.3,-,-,-,-,0.875,0.35,-,-
gs_iris,10,1.0,0.5,0.8,0.4,-,-,-,-,0.8,0.4,-,-
gs_iris,24,0.8333,1.0,0.8333,1.0,-,-,-,-,0.8333,1.0,-,-
gs_iris,42,0.4762,1.0,0.4762,1.0,-,-,-,-,0.4762,1.0,-,-
gs_iris,54,0.3704,1.0,0.3704,1.0,-,-,-,-,0.3704,1.0,-,-
gs_iris,84,0.2381,1.0,0.2381,1.0,-,-,-,-,0.2381,1.0,-,-
gs_iris,120,0.1667,1.0,0.1667,1.0,-,-,-,-,0.1667,1.0,-,-
gs_iris_Avg,-,0.6761,0.6833,0.4594,0.6444,-,-,-,-,0.6400,0.6667,-,-
gs_wine,1,0.0,0.0,0.0,0.0,-,-,-,-,0.0,0.0,-,-
gs_wine,6,0.5,0.1,0.5,0.1,-,-,-,-,0.6667,0.1333,-,-
gs_wine,11,0.5455,0.2,0.3636,0.1333,-,-,-,-,0.6364,0.2333,-,-
gs_wine,14,0.5,0.2333,0.3571,0.1667,-,-,-,-,0.6429,0.3,-,-
gs_wine,32,0.5938,0.6333,0.4375,0.4667,-,-,-,-,0.6562,0.7,-,-
gs_wine,56,0.5,0.9333,0.5,0.9333,-,-,-,-,0.5357,1.0,-,-
gs_wine,72,0.4167,1.0,0.4167,1.0,-,-,-,-,0.4167,1.0,-,-
gs_wine,112,0.2679,1.0,0.2679,1.0,-,-,-,-,0.2679,1.0,-,-
gs_wine,160,0.1875,1.0,0.1875,1.0,-,-,-,-,0.1875,1.0,-,-
gs_wine_Avg,-,0.3902,0.5667,0.3367,0.5333,-,-,-,-,0.4456,0.5963,-,-
heart,3,1.0,0.0216,1.0,0.0216,1.0,0.027,0.3333,0.009,1.0,0.0216,1.0,0.027
heart,12,0.8333,0.0719,0.75,0.0647,0.8333,0.0901,0.5833,0.0631,0.9167,0.0791,0.8333,0.0901
heart,21,0.8095,0.1223,0.7619,0.1151,0.8571,0.1622,0.7143,0.1351,0.7619,0.1151,0.8095,0.1532
heart,27,0.8148,0.1583,0.7037,0.1367,0.8148,0.1982,0.7407,0.1802,0.7778,0.1511,0.8519,0.2072
heart,60,0.65,0.2806,0.7,0.3022,0.7333,0.3964,0.7333,0.3964,0.6833,0.295,0.75,0.4054
heart,106,0.5849,0.446,0.6038,0.4604,0.6038,0.5766,0.6698,0.6396,0.6038,0.4604,0.6981,0.6667
heart,136,0.5956,0.5827,0.5956,0.5827,0.5588,0.6847,0.6029,0.7387,0.5882,0.5755,0.625,0.7658
heart,212,0.533,0.8129,0.533,0.8129,0.4717,0.9009,0.4623,0.8829,0.5472,0.8345,0.4811,0.9189
heart,303,0.4587,1.0,0.4587,1.0,0.3663,1.0,0.3663,1.0,0.4587,1.0,0.3663,1.0
heart_Avg,-,0.6978,0.3885,0.6785,0.3885,0.6932,0.4485,0.5785,0.4494,0.7042,0.3925,0.7128,0.4705
hepatitis,1,1.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0385
hepatitis,6,0.1667,0.0312,0.5,0.0938,0.5,0.1154,0.5,0.1154,0.6667,0.125,0.3333,0.0769
hepatitis,10,0.4,0.125,0.4,0.125,0.5,0.1923,0.4,0.1538,0.5,0.1562,0.5,0.1923
hepatitis,13,0.5385,0.2188,0.3846,0.1562,0.6154,0.3077,0.3077,0.1538,0.3846,0.1562,0.3846,0.1923
hepatitis,31,0.4516,0.4375,0.5484,0.5312,0.3871,0.4615,0.4516,0.5385,0.4839,0.4688,0.4839,0.5769
hepatitis,54,0.3889,0.6562,0.4259,0.7188,0.3333,0.6923,0.3889,0.8077,0.4259,0.7188,0.3333,0.6923
hepatitis,69,0.3768,0.8125,0.4058,0.875,0.3043,0.8077,0.3333,0.8846,0.3623,0.7812,0.3188,0.8462
hepatitis,108,0.2778,0.9375,0.2685,0.9062,0.213,0.8846,0.2222,0.9231,0.2685,0.9062,0.2222,0.9231
hepatitis,155,0.2065,1.0,0.2065,1.0,0.1677,1.0,0.1677,1.0,0.2065,1.0,0.1677,1.0
hepatitis_Avg,-,0.4230,0.4722,0.3489,0.4896,0.3356,0.4957,0.3079,0.5085,0.3665,0.4792,0.4160,0.5043
horse,3,0.6667,0.0202,0.6667,0.0202,0.3333,0.0127,0.0,0.0,0.6667,0.0202,0.0,0.0
horse,12,0.6667,0.0808,0.75,0.0909,0.5,0.0759,0.3333,0.0506,0.6667,0.0808,0.0833,0.0127
horse,21,0.6667,0.1414,0.619,0.1313,0.4286,0.1139,0.2857,0.0759,0.619,0.1313,0.2381,0.0633
horse,27,0.5926,0.1616,0.6296,0.1717,0.4444,0.1519,0.3704,0.1266,0.5556,0.1515,0.3333,0.1139
horse,60,0.45,0.2727,0.55,0.3333,0.45,0.3418,0.4333,0.3291,0.4667,0.2828,0.4167,0.3165
horse,105,0.4857,0.5152,0.4952,0.5253,0.3714,0.4937,0.3714,0.4937,0.4667,0.4949,0.4095,0.5443
horse,135,0.4889,0.6667,0.4963,0.6768,0.3556,0.6076,0.3259,0.557,0.4667,0.6364,0.363,0.6203
horse,210,0.4,0.8485,0.4,0.8485,0.2857,0.7595,0.281,0.7468,0.4143,0.8788,0.3476,0.9241
horse,300,0.33,1.0,0.33,1.0,0.2633,1.0,0.2633,1.0,0.33,1.0,0.2633,1.0
horse_Avg,-,0.5275,0.4119,0.5485,0.4220,0.3814,0.3952,0.2960,0.3755,0.5169,0.4085,0.2728,0.3995
iris,1,1.0,0.05,0.0,0.0,1.0,0.0625,0.0,0.0,1.0,0.05,1.0,0.0625
iris,4,1.0,0.2,0.5,0.1,0.75,0.1875,0.75,0.1875,1.0,0.2,1.0,0.25
iris,8,1.0,0.4,0.75,0.3,0.75,0.375,0.875,0.4375,0.875,0.35,1.0,0.5
iris,10,1.0,0.5,0.8,0.4,0.8,0.5,0.9,0.5625,0.8,0.4,0.9,0.5625
iris,24,0.8333,1.0,0.8333,1.0,0.6667,1.0,0.6667,1.0,0.8333,1.0,0.6667,1.0
iris,42,0.4762,1.0,0.4762,1.0,0.381,1.0,0.381,1.0,0.4762,1.0,0.381,1.0
iris,54,0.3704,1.0,0.3704,1.0,0.2963,1.0,0.2963,1.0,0.3704,1.0,0.2963,1.0
iris,84,0.2381,1.0,0.2381,1.0,0.1905,1.0,0.1905,1.0,0.2381,1.0,0.1905,1.0
iris,120,0.1667,1.0,0.1667,1.0,0.1333,1.0,0.1333,1.0,0.1667,1.0,0.1333,1.0
